TEAM_NAME,TEAM_ID,RIM_PCT,MID_PCT,SUM_USAGE,EFG_PCT,FTA_RATE,OREB_PCT,TM_TOV_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,PACE,PCT_FGA_3PT,BENCH_PTS_PCT
Atlanta Hawks,1610612737,0.316,0.185,0.52,0.512,0.236,0.263,0.157,104.4,110.1,-5.7,0.622,98.76,0.363,0.387
Boston Celtics,1610612738,0.297,0.193,0.52,0.518,0.243,0.263,0.144,106.8,103.2,3.6,0.586,96.75,0.357,0.333
Brooklyn Nets,1610612751,0.306,0.116,0.512,0.514,0.26,0.251,0.151,106.1,109.7,-3.6,0.619,99.66,0.411,0.412
Charlotte Hornets,1610612766,0.306,0.218,0.508,0.508,0.312,0.271,0.128,109.0,109.0,-0.1,0.554,98.66,0.314,0.36
Chicago Bulls,1610612741,0.29,0.2,0.495,0.497,0.216,0.256,0.141,103.4,110.5,-7.0,0.607,98.65,0.35,0.398
Cleveland Cavaliers,1610612739,0.32,0.188,0.563,0.547,0.275,0.243,0.139,112.0,111.1,1.0,0.579,98.72,0.379,0.371
Dallas Mavericks,1610612742,0.271,0.203,0.527,0.513,0.217,0.224,0.127,105.4,108.4,-2.9,0.594,96.53,0.382,0.358
Denver Nuggets,1610612743,0.331,0.135,0.46099999999999997,0.536,0.258,0.3,0.151,111.4,110.0,1.4,0.617,97.69,0.357,0.311
Detroit Pistons,1610612765,0.298,0.184,0.55,0.512,0.227,0.269,0.138,106.6,106.7,-0.1,0.582,96.75,0.333,0.326
Golden State Warriors,1610612744,0.293,0.236,0.583,0.569,0.239,0.243,0.153,112.8,106.8,5.9,0.685,100.35,0.339,0.291
Houston Rockets,1610612745,0.32,0.082,0.594,0.551,0.298,0.254,0.141,114.1,105.7,8.4,0.557,98.02,0.502,0.271
Indiana Pacers,1610612754,0.319,0.256,0.513,0.525,0.222,0.271,0.136,108.5,107.3,1.3,0.544,96.84,0.284,0.312
LA Clippers,1610612746,0.385,0.141,0.5609999999999999,0.527,0.299,0.284,0.147,109.4,109.2,0.2,0.555,99.54,0.314,0.391
Los Angeles Lakers,1610612747,0.367,0.147,0.527,0.517,0.264,0.279,0.155,106.0,107.3,-1.3,0.584,100.9,0.329,0.363
Memphis Grizzlies,1610612763,0.342,0.196,0.532,0.5,0.255,0.276,0.156,103.6,110.4,-6.8,0.586,95.65,0.317,0.375
Miami Heat,1610612748,0.32,0.169,0.501,0.52,0.229,0.261,0.148,106.2,105.8,0.4,0.585,96.1,0.358,0.391
Milwaukee Bucks,1610612749,0.347,0.208,0.5609999999999999,0.531,0.281,0.244,0.142,109.0,109.1,-0.2,0.585,97.03,0.297,0.261
Minnesota Timberwolves,1610612750,0.298,0.242,0.476,0.523,0.28,0.289,0.128,112.5,110.2,2.3,0.553,96.75,0.261,0.238
New Orleans Pelicans,1610612740,0.334,0.175,0.609,0.541,0.237,0.24,0.145,108.5,107.4,1.1,0.627,101.48,0.319,0.25
New York Knicks,1610612752,0.307,0.257,0.5660000000000001,0.51,0.216,0.289,0.15,106.3,109.7,-3.4,0.573,97.64,0.266,0.366
Oklahoma City Thunder,1610612760,0.336,0.214,0.5740000000000001,0.514,0.275,0.32,0.143,110.1,106.4,3.7,0.535,97.34,0.345,0.245
Orlando Magic,1610612753,0.303,0.175,0.517,0.512,0.238,0.248,0.147,104.7,109.4,-4.7,0.604,98.58,0.342,0.329
Philadelphia 76ers,1610612755,0.312,0.174,0.549,0.535,0.263,0.286,0.163,108.5,103.9,4.6,0.663,100.75,0.344,0.284
Phoenix Suns,1610612756,0.342,0.182,0.554,0.495,0.275,0.271,0.155,102.8,111.7,-9.0,0.553,101.14,0.32,0.36
Portland Trail Blazers,1610612757,0.319,0.203,0.554,0.511,0.24,0.279,0.139,108.4,105.7,2.7,0.496,97.11,0.324,0.262
Sacramento Kings,1610612758,0.279,0.236,0.506,0.502,0.194,0.264,0.143,103.1,110.4,-7.3,0.556,95.5,0.278,0.45
San Antonio Spurs,1610612759,0.29,0.249,0.5249999999999999,0.507,0.245,0.277,0.137,107.1,104.1,3.0,0.583,95.7,0.282,0.407
Toronto Raptors,1610612761,0.331,0.142,0.508,0.539,0.25,0.274,0.135,113.0,105.3,7.7,0.59,98.02,0.377,0.374
Utah Jazz,1610612762,0.322,0.162,0.505,0.527,0.26,0.256,0.152,107.4,103.0,4.4,0.586,96.58,0.357,0.335
Washington Wizards,1610612764,0.276,0.248,0.549,0.525,0.254,0.274,0.148,108.1,107.7,0.4,0.631,97.67,0.31,0.334
